Location,Mobile,Action,Date,Time,Points Awarded,Total Points,License Plate
OptSpot Car Wash - Main St,5550189179,CHECKIN,2025-11-08,13:39:42,10,10,HTX5751
OptSpot Car Wash - Main St,5550101883,CHECKIN,2025-11-18,09:37:28,10,10,XQI7222
OptSpot Car Wash - Main St,5550668480,BONUS,2025-11-18,11:49:19,50,50,KNT2621
OptSpot Car Wash - Main St,5550247459,BONUS,2025-11-18,18:39:27,50,50,UJJ9293
OptSpot Car Wash - Main St,5550727369,CHECKIN,2025-11-25,20:54:23,10,10,MRK9012
OptSpot Car Wash - Main St,5550634487,CHECKIN,2025-11-26,07:45:30,10,10,DLJ7273
OptSpot Car Wash - Main St,5550668480,CHECKIN,2025-11-27,12:18:24,10,60,KNT2621
OptSpot Car Wash - Main St,5550868524,REDEEM,2025-11-28,13:20:21,-50,0,NMO7780
OptSpot Car Wash - Main St,5550620148,CHECKIN,2025-11-29,17:41:49,10,10,BNI7404
OptSpot Car Wash - Main St,5550081247,CHECKIN,2025-11-29,20:23:24,10,10,SGI8849
OptSpot Car Wash - Main St,5550777236,CHECKIN,2025-11-30,11:00:10,10,10,LSO1832
OptSpot Car Wash - Main St,5550331535,CHECKIN,2025-12-03,19:18:07,10,10,YYA9224
OptSpot Car Wash - Main St,5550076819,CHECKIN,2025-12-04,10:02:28,10,10,NND5718
OptSpot Car Wash - Main St,5550586072,CHECKIN,2025-12-06,07:18:40,10,10,JUV8624
OptSpot Car Wash - Main St,5550812085,CHECKIN,2025-12-06,08:59:26,10,10,IPU5482
OptSpot Car Wash - Main St,5550864998,CHECKIN,2025-12-06,09:33:32,10,10,ZRO6770
OptSpot Car Wash - Main St,5550654813,CHECKIN,2025-12-06,12:51:07,10,10,SPV9234
OptSpot Car Wash - Main St,5550578043,CHECKIN,2025-12-06,13:29:47,10,10,DEP2236
OptSpot Car Wash - Main St,5550732052,CHECKIN,2025-12-06,14:36:35,10,10,KHF5514
OptSpot Car Wash - Main St,5550487455,CHECKIN,2025-12-06,16:55:38,10,10,LTG4022
OptSpot Car Wash - Main St,5550603727,BONUS,2025-12-06,17:46:09,25,25,LKQ4743
OptSpot Car Wash - Main St,5550187143,CHECKIN,2025-12-07,19:32:56,10,10,ZKD3648
OptSpot Car Wash - Main St,5550505612,CHECKIN,2025-12-09,12:02:19,10,10,FCV6022
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-10,13:18:57,10,10,JLH3777
OptSpot Car Wash - Main St,5550451524,CHECKIN,2025-12-10,16:50:34,10,10,PVO5262
OptSpot Car Wash - Main St,5550195361,BONUS,2025-12-10,17:56:33,50,50,YZY0613
OptSpot Car Wash - Main St,5550654813,CHECKIN,2025-12-10,18:01:33,10,20,SPV9234
OptSpot Car Wash - Main St,5550997373,CHECKIN,2025-12-11,17:05:59,10,10,FYM3711
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-12,09:08:07,10,20,JLH3777
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-12,18:17:11,10,30,JLH3777
OptSpot Car Wash - Main St,5550527276,BONUS,2025-12-12,20:34:35,50,50,XNB8320
OptSpot Car Wash - Main St,5550634487,BONUS,2025-12-13,08:27:32,50,60,DLJ7273
OptSpot Car Wash - Main St,5550487192,CHECKIN,2025-12-13,12:14:22,10,10,ZME2209
OptSpot Car Wash - Main St,5550682139,CHECKIN,2025-12-13,17:10:34,10,10,FZI0969
OptSpot Car Wash - Main St,5550999914,CHECKIN,2025-12-14,08:36:00,10,10,DXB1398
OptSpot Car Wash - Main St,5550803265,CHECKIN,2025-12-14,13:45:08,10,10,YXG1102
OptSpot Car Wash - Main St,5550715894,BONUS,2025-12-14,15:25:07,50,50,ZWD5697
OptSpot Car Wash - Main St,5550505612,CHECKIN,2025-12-14,20:41:34,10,20,FCV6022
OptSpot Car Wash - Main St,5550665905,BONUS,2025-12-15,11:03:25,50,50,YHQ8740
OptSpot Car Wash - Main St,5550643378,REDEEM,2025-12-15,12:46:13,-50,0,ROP4381
OptSpot Car Wash - Main St,5550999914,CHECKIN,2025-12-15,16:54:11,10,20,DXB1398
OptSpot Car Wash - Main St,5550505612,REDEEM,2025-12-15,17:12:44,-100,0,FCV6022
OptSpot Car Wash - Main St,5550101883,CHECKIN,2025-12-15,19:46:00,10,20,XQI7222
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-16,16:13:56,10,40,JLH3777
OptSpot Car Wash - Main St,5550046228,REDEEM,2025-12-17,07:18:30,-100,0,AUQ4291
OptSpot Car Wash - Main St,5550996971,BONUS,2025-12-17,08:30:33,50,50,ATV9441
OptSpot Car Wash - Main St,5550145095,CHECKIN,2025-12-17,11:45:22,10,10,DJD3505
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-18,08:58:05,10,50,JLH3777
OptSpot Car Wash - Main St,5550586072,CHECKIN,2025-12-18,09:33:57,10,20,JUV8624
OptSpot Car Wash - Main St,5550812085,CHECKIN,2025-12-18,14:12:54,10,20,IPU5482
OptSpot Car Wash - Main St,5550286193,CHECKIN,2025-12-18,16:03:29,10,10,LAI6624
OptSpot Car Wash - Main St,5550918938,CHECKIN,2025-12-19,08:40:53,10,10,SFM7517
OptSpot Car Wash - Main St,5550643378,CHECKIN,2025-12-19,08:44:02,10,10,ROP4381
OptSpot Car Wash - Main St,5550414463,REDEEM,2025-12-20,07:31:29,-100,0,ZBF3460
OptSpot Car Wash - Main St,5550505612,REDEEM,2025-12-20,16:37:24,-50,0,FCV6022
OptSpot Car Wash - Main St,5550918938,BONUS,2025-12-20,16:55:27,50,60,SFM7517
OptSpot Car Wash - Main St,5550603727,CHECKIN,2025-12-20,18:02:53,10,35,LKQ4743
OptSpot Car Wash - Main St,5550803265,CHECKIN,2025-12-20,19:52:10,10,20,YXG1102
OptSpot Car Wash - Main St,5550682139,CHECKIN,2025-12-21,11:25:35,10,20,FZI0969
OptSpot Car Wash - Main St,5550046228,CHECKIN,2025-12-21,14:42:39,10,10,AUQ4291
OptSpot Car Wash - Main St,5550996971,CHECKIN,2025-12-21,18:46:52,10,60,ATV9441
OptSpot Car Wash - Main St,5550715894,CHECKIN,2025-12-22,08:06:34,10,60,ZWD5697
OptSpot Car Wash - Main St,5550801280,CHECKIN,2025-12-22,08:09:18,10,10,GIA7055
OptSpot Car Wash - Main St,5550578043,CHECKIN,2025-12-22,09:50:02,10,20,DEP2236
OptSpot Car Wash - Main St,5550505612,REDEEM,2025-12-22,10:22:42,-50,0,FCV6022
OptSpot Car Wash - Main St,5550306327,CHECKIN,2025-12-22,16:43:50,10,10,SDW8042
OptSpot Car Wash - Main St,5550286193,REDEEM,2025-12-23,09:42:36,-100,0,LAI6624
OptSpot Car Wash - Main St,5550149715,CHECKIN,2025-12-23,13:13:42,10,10,WRL2068
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-23,16:24:39,10,60,JLH3777
OptSpot Car Wash - Main St,5550331535,REDEEM,2025-12-23,18:45:23,-100,0,YYA9224
OptSpot Car Wash - Main St,5550286193,CHECKIN,2025-12-23,20:06:34,10,10,LAI6624
OptSpot Car Wash - Main St,5550286193,CHECKIN,2025-12-24,11:50:56,10,20,LAI6624
OptSpot Car Wash - Main St,5550784475,CHECKIN,2025-12-24,16:02:14,10,10,XQH8977
OptSpot Car Wash - Main St,5550286193,CHECKIN,2025-12-25,11:18:54,10,30,LAI6624
OptSpot Car Wash - Main St,5550999914,CHECKIN,2025-12-25,11:48:07,10,30,DXB1398
OptSpot Car Wash - Main St,5550934631,CHECKIN,2025-12-25,12:24:46,10,10,JWX6154
OptSpot Car Wash - Main St,5550286193,REDEEM,2025-12-25,12:33:49,-100,0,LAI6624
OptSpot Car Wash - Main St,5550286193,BONUS,2025-12-25,13:36:29,25,25,LAI6624
OptSpot Car Wash - Main St,5550306327,CHECKIN,2025-12-25,13:41:34,10,20,SDW8042
OptSpot Car Wash - Main St,5550999914,CHECKIN,2025-12-25,15:57:19,10,40,DXB1398
OptSpot Car Wash - Main St,5550346859,CHECKIN,2025-12-25,16:15:17,10,70,JLH3777
OptSpot Car Wash - Main St,5550666549,REDEEM,2025-12-26,07:19:38,-50,0,KJT5850
OptSpot Car Wash - Main St,5550868524,REDEEM,2025-12-26,16:20:53,-100,0,NMO7780
OptSpot Car Wash - Main St,5550803265,CHECKIN,2025-12-27,08:28:52,10,30,YXG1102
OptSpot Car Wash - Main St,5550666549,CHECKIN,2025-12-27,10:34:31,10,10,KJT5850
OptSpot Car Wash - Main St,5550195361,CHECKIN,2025-12-27,13:38:41,10,60,YZY0613
OptSpot Car Wash - Main St,5550235134,CHECKIN,2025-12-27,16:27:59,10,10,DFD8094
OptSpot Car Wash - Main St,5550679094,CHECKIN,2025-12-27,16:45:24,10,10,DGD0977
OptSpot Car Wash - Main St,5550603727,CHECKIN,2025-12-28,09:18:05,10,45,LKQ4743
OptSpot Car Wash - Main St,5550999914,CHECKIN,2025-12-28,10:02:11,10,50,DXB1398
OptSpot Car Wash - Main St,5550797615,CHECKIN,2025-12-28,14:53:31,10,10,JOI7642
OptSpot Car Wash - Main St,5550118959,CHECKIN,2025-12-28,16:27:38,10,10,AEN9202
OptSpot Car Wash - Main St,5550235134,REDEEM,2025-12-29,13:43:18,-100,0,DFD8094
OptSpot Car Wash - Main St,5550503935,CHECKIN,2025-12-29,15:10:21,10,10,WOC8452
OptSpot Car Wash - Main St,5550586072,CHECKIN,2025-12-29,17:36:49,10,30,JUV8624
OptSpot Car Wash - Main St,5550918938,CHECKIN,2025-12-29,17:52:29,10,70,SFM7517
OptSpot Car Wash - Main St,5550487192,CHECKIN,2025-12-29,18:07:59,10,20,ZME2209
OptSpot Car Wash - Main St,5550643378,CHECKIN,2025-12-29,18:45:12,10,20,ROP4381
OptSpot Car Wash - Main St,5550643378,REDEEM,2025-12-30,07:28:24,-50,0,ROP4381
OptSpot Car Wash - Main St,5550665905,CHECKIN,2025-12-30,12:23:36,10,60,YHQ8740
OptSpot Car Wash - Main St,5550918938,CHECKIN,2025-12-30,17:27:57,10,80,SFM7517
OptSpot Car Wash - Main St,5550997373,CHECKIN,2025-12-31,08:28:08,10,20,FYM3711
OptSpot Car Wash - Main St,5550562336,CHECKIN,2025-12-31,17:43:52,10,10,LKH4092
OptSpot Car Wash - Main St,5550145095,CHECKIN,2026-01-01,17:25:31,10,20,DJD3505
OptSpot Car Wash - Main St,5550677406,CHECKIN,2026-01-01,17:36:56,10,10,RNA5060
OptSpot Car Wash - Main St,5550996971,BONUS,2026-01-01,18:37:54,25,85,ATV9441
OptSpot Car Wash - Main St,5550365746,BONUS,2026-01-02,11:19:37,50,50,OYS4715
OptSpot Car Wash - Main St,5550470050,CHECKIN,2026-01-02,16:03:24,10,10,UNC8254
OptSpot Car Wash - Main St,5550015582,CHECKIN,2026-01-02,18:50:10,10,10,JUP0258
OptSpot Car Wash - Main St,5550286193,CHECKIN,2026-01-02,19:20:43,10,35,LAI6624
OptSpot Car Wash - Main St,5550969209,CHECKIN,2026-01-03,08:12:57,10,10,UGC6955
OptSpot Car Wash - Main St,5550864998,CHECKIN,2026-01-03,08:39:31,10,20,ZRO6770
OptSpot Car Wash - Main St,5550414463,CHECKIN,2026-01-03,09:50:43,10,10,ZBF3460
OptSpot Car Wash - Main St,5550682139,REFERRAL,2026-01-03,11:25:43,100,120,FZI0969
OptSpot Car Wash - Main St,5550386490,CHECKIN,2026-01-03,11:42:16,10,10,RRP6086
OptSpot Car Wash - Main St,5550252673,CHECKIN,2026-01-03,12:03:25,10,10,WHS7586
OptSpot Car Wash - Main St,5550076819,REDEEM,2026-01-03,12:14:31,-100,0,NND5718
OptSpot Car Wash - Main St,5550903332,REDEEM,2026-01-03,16:55:05,-50,0,STW6532
OptSpot Car Wash - Main St,5550505612,BONUS,2026-01-03,17:32:46,25,25,FCV6022
OptSpot Car Wash - Main St,5550484106,BONUS,2026-01-03,18:29:56,50,50,UUN6859
OptSpot Car Wash - Main St,5550306327,REFERRAL,2026-01-03,18:50:20,100,120,SDW8042
